~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2478.34640             0.84584             0.89633           309.90396           309.90396           612.17102           612.17102           118.77400            37.96182
          2478.49880          -999.25000             0.89086           306.73245           306.73245           612.98505           612.98505           120.44598            38.17526
          2478.65120          -999.25000             0.89550           303.21094           303.21094           613.84839           613.84839           124.75407            39.95707
          2478.80360             0.84155             0.90142           300.78299           300.78299           613.32916           613.32916           125.37555            39.15226
          2478.95600             0.82232             0.90155           299.02014           299.02014           611.87665           611.87665           123.87424            39.38888
          2479.10840             0.82265             0.89496           299.04745           299.04745           609.52948           609.52948           124.28159            40.38576
          2479.26080             0.83902             0.88536           300.65402           300.65402           606.78687           606.78687           121.08974            41.27732
          2479.41320             0.85264             0.88309           303.94553           303.94553           604.52020           604.52020           115.58269            40.66382
          2479.56560             0.87791             0.86975           306.84241           306.84241           603.30774           603.30774           115.82381            40.58226
          2479.71800             0.88436             0.86608           307.69006           307.69006           604.26166           604.26166           120.09264            40.65466
          2479.87040          -999.25000             0.88662           307.40738           307.40738           605.86877           605.86877           123.55639            40.37482
          2480.02280          -999.25000             0.91375           306.85895           306.85895           607.10791           607.10791           125.22720            39.59227
          2480.17520          -999.25000             0.91009           307.20618           307.20618           606.28693           606.28693           121.99107            38.90910
          2480.32760          -999.25000             0.88514           307.55341           307.55341           604.46362           604.46362           113.40581            39.02957
          2480.48000          -999.25000             0.87927           307.90063           307.90063           603.87280           603.87280           109.64765            38.78367
          2480.63240          -999.25000             0.87433           308.24933           308.24933           605.18988           605.18988           114.86166            38.67779
          2480.78480             0.87946             0.87223           308.52402           308.52402           608.08533           608.08533           117.45203            38.87293
          2480.93720             0.88301             0.88205           308.11649           308.11649           610.65948           610.65948           111.87189            38.91258
          2481.08960          -999.25000             0.88741           307.90424           307.90424           612.51282           612.51282           108.86436            39.17463
          2481.24200          -999.25000             0.88749           307.60254           307.60254           613.77136           613.77136           114.54376            38.65227
          2481.39440             0.85634             0.88663           306.70807           306.70807           613.77942           613.77942           119.84767            38.36318
          2481.54680             0.85164             0.89165           305.17734           305.17734           611.74823           611.74823           122.47564            38.13742
          2481.69920             0.84601             0.90531           303.30106           303.30106           608.00330           608.00330           126.11583            38.45016
          2481.85160             0.82889             0.91532           303.04993           303.04993           604.13300           604.13300           124.83273            38.66932
